stock,client_name,exchange,deal_type,action,date,avg_price,quantity,percentage_traded
Effwa Infra & Research Ltd.,SELVAMURTHY    AKILANDESWARI,NSE,Bulk,Purchase,31-07-2024,330.66,121600,0.53%
Durlax Top Surface Ltd.,SELVAMURTHY    AKILANDESWARI,NSE,Bulk,Purchase,04-07-2024,84.98,84000,0.51%
Diensten Tech Ltd.,SELVAMURTHY    AKILANDESWARI,NSE,Bulk,Purchase,04-07-2024,263.65,42000,0.51%
Medicamen Organics Ltd.,SELVAMURTHY    AKILANDESWARI,NSE,Bulk,Purchase,28-06-2024,135.09,200000,1.71%
Quest Laboratories Ltd.,SELVAMURTHY    AKILANDESWARI,NSE,Bulk,Purchase,30-05-2024,114.77,159600,0.97%
Indian Emulsifiers Ltd.,SELVAMURTHY    AKILANDESWARI,NSE,Bulk,Purchase,22-05-2024,426.15,62000,0.51%
Piotex Industries Ltd.,SELVAMURTHY AKILANDESWARI,BSE,Bulk,Purchase,17-05-2024,111.06,54000,1.06%
Sungarner Energies Ltd.,SELVAMURTHY    AKILANDESWARI,NSE,Bulk,Sell,06-05-2024,440.75,28000,1.21%
Mafia Trends Ltd.,SELVAMURTHY AKILANDESWARI,BSE,Bulk,Sell,12-04-2024,12.92,44000,0.99%
Owais Metal and Mineral Processing Ltd.,SELVAMURTHY    AKILANDESWARI,NSE,Bulk,Purchase,04-03-2024,249.3,121600,0.67%
Thaai Casting Ltd.,SELVAMURTHY  AKILANDESWARI,NSE,Bulk,Purchase,23-02-2024,180.41,116800,0.50%
Nirman Agri Genetics Ltd.,SELVAMURTHY  AKILANDESWARI,NSE,Bulk,Sell,14-02-2024,304.88,60600,0.76%
Vedant Asset Ltd.,SELVAMURTHY AKILANDESWARI,BSE,Bulk,Sell,02-01-2024,40.84,21000,0.76%
Trident Techlabs Ltd.,SELVAMURTHY  AKILANDESWARI,NSE,Bulk,Purchase,29-12-2023,98.15,120000,0.69%
Vedant Asset Ltd.,SELVAMURTHY AKILANDESWARI,BSE,Bulk,Sell,27-12-2023,40.13,15000,0.54%
Kandarp Digi Smart BPO Ltd.,SELVAMURTHY  AKILANDESWARI,NSE,Bulk,Sell,20-12-2023,16.16,60000,0.67%
Presstonic Engineering Ltd.,SELVAMURTHY  AKILANDESWARI,NSE,Bulk,Purchase,18-12-2023,137.4,40000,0.52%
SAR Televenture Ltd.,SELVAMURTHY  AKILANDESWARI,NSE,Bulk,Purchase,30-11-2023,159.08,98000,0.26%
Medplus Health Services Ltd.,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Block,Purchase,18-11-2024,700,1607867,1.34%
Shivalik Bimetal Controls Ltd.,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Bulk,Purchase,27-09-2024,610.6,1770912,3.07%
Shivalik Bimetal Controls Ltd.,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Block,Purchase,27-09-2024,610.6,1770912,3.07%
Rolex Rings Ltd.,FRANKLIN TEMPLETON MUTUAL FUND,BSE,Bulk,Purchase,27-08-2024,2421.08,156096,0.57%
