stock,client_name,exchange,deal_type,action,date,avg_price,quantity,percentage_traded
Seamec,NOMURA SINGAPORE LIMITED,NSE,Block,Sell,26-08-2024,1525,190000,0.75%
Seamec,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,23-08-2024,1500,279000,1.10%
Seamec,NOMURA SINGAPORE LIMITED,NSE,Block,Sell,23-08-2024,1500,279000,1.10%
PNB Housing Finance,NOMURA SINGAPORE LIMITED,BSE,Block,Purchase,21-08-2024,802.5,124650,0.05%
Omaxe,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,28-06-2024,109.5,2606465,1.43%
Omaxe,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,27-06-2024,106.75,2700000,1.48%
Deep Energy Resources,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,26-06-2024,170.75,206553,0.65%
GSS Infotech,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,26-06-2024,92.75,160000,0.61%
Rossell,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,26-06-2024,553.5,555803,1.47%
Paisalo Digital,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,26-06-2024,75.47,14800000,1.65%
Tree House Education,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,26-06-2024,26.26,340000,0.80%
UFO Moviez,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,26-06-2024,137.8,257261,0.66%
Salasar Techno,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,26-06-2024,19.27,13880000,0.80%
Krystal Integrated,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,21-03-2024,736.74,500000,3.58%
GPT Healthcare,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,29-02-2024,202.46,453693,0.55%
Mankind Pharma,NOMURA SINGAPORE LIMITED,NSE,Block,Purchase,08-02-2024,2107.35,50043,0.01%
Salasar Techno,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,01-02-2024,28.2,3470000,0.20%
Computer Age Mgmt,NOMURA SINGAPORE LIMITED,BSE,Block,Purchase,04-12-2023,2766,36500,0.07%
PB Fintech,NOMURA SINGAPORE LIMITED,NSE,Block,Purchase,06-10-2023,762.8,163860,0.04%
Restaurant Brands Asia,NOMURA SINGAPORE LIMITED,NSE,Block,Purchase,15-09-2023,119.1,1050150,0.21%
Zomato,NOMURA SINGAPORE LIMITED,NSE,Block,Purchase,30-08-2023,94.7,1310000,0.01%
HMA Agro Industries,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,04-07-2023,626.9,466032,0.09%
TD Power Systems,NOMURA SINGAPORE LIMITED,NSE,Block,Purchase,30-06-2023,221,460000,0.29%
Rama Steel Tubes,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,10-01-2023,42.8,500000,0.03%
Inox Green Energy,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,23-11-2022,60.35,1460728,0.40%
Rama Steel Tubes,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,11-11-2022,164.15,500000,0.03%
CSB Bank,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,25-10-2022,232.3,2639673,1.52%
Zee Entertainment,NOMURA SINGAPORE LIMITED,NSE,Block,Purchase,18-10-2022,263.7,405997,0.04%
BLS International ,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,29-08-2022,230,1100000,0.27%
Easy Trip Planners,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,02-08-2022,399,1150000,0.03%
BLS International ,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,11-07-2022,214,1250000,0.30%
Rama Steel Tubes,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,15-06-2022,371,100000,0.01%
KBC Global,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,15-06-2022,4.4,19620000,2.01%
Vaxtex Cotfab,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,11-05-2022,35.6,265000,0.14%
Hariom Pipe,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,13-04-2022,225.84,345190,1.11%
Veranda Learning,NOMURA SINGAPORE LIMITED,BSE,Bulk,Sell,12-04-2022,162.51,778600,1.09%
Veranda Learning,NOMURA SINGAPORE LIMITED,BSE,Bulk,Sell,11-04-2022,160.97,978581,1.37%
Lancer Container,NOMURA SINGAPORE LIMITED,BSE,Bulk,Purchase,31-03-2022,163.99,450000,0.20%
Vikas Ecotech,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,24-03-2022,5.35,6600000,0.37%
Easy Trip Planners,NOMURA SINGAPORE LIMITED,BSE,Bulk,Purchase,28-02-2022,275,600000,0.02%
Dhani Services,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,03-02-2022,153,10000000,1.63%
Seacoast Shipping,NOMURA SINGAPORE LIMITED,BSE,Bulk,Purchase,17-01-2022,19.71,5000000,0.93%
Vishal Fabrics,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,30-08-2021,112.25,705000,0.36%
Pricol,NOMURA SINGAPORE LIMITED,BSE,Bulk,Purchase,09-06-2021,89.45,1888646,1.55%
Paramount Comm,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,04-06-2021,13.12,1252644,0.41%
Vikas Ecotech,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,27-04-2021,2.06,5220000,0.30%
Seamec,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,01-04-2021,449.96,250000,0.98%
Seamec,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,31-03-2021,454.97,160000,0.63%
TruCap Finance,NOMURA SINGAPORE LIMITED,BSE,Bulk,Purchase,05-02-2021,380,135000,0.12%
Vikas Ecotech,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,11-01-2021,3.7,1680000,0.09%
TruCap Finance,NOMURA SINGAPORE LIMITED,BSE,Bulk,Purchase,08-01-2021,411,150000,0.13%
PNC Infratech,NOMURA SINGAPORE LIMITED,BSE,Block,Purchase,06-01-2021,175,750000,0.29%
CSB Bank,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,16-12-2020,214.5,1496357,0.86%
CSB Bank,NOMURA SINGAPORE LIMITED,NSE,Block,Purchase,16-12-2020,214.5,1496357,0.86%
GSS Infotech,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,19-08-2020,21.33,700000,2.68%
Tourism Finance,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,23-03-2020,32.85,2644952,2.86%
Eris Lifesciences,NOMURA SINGAPORE LIMITED,BSE,Bulk,Purchase,15-11-2019,410,950000,0.70%
Cerebra Integrated,NOMURA SINGAPORE LIMITED,BSE,Bulk,Purchase,14-11-2019,18.5,1699000,1.40%
Cerebra Integrated,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,14-11-2019,19,1054239,0.87%
Lypsa Jewellery,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,14-08-2019,3.85,488663,1.66%
Deep Energy Resources,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,07-08-2019,110.63,199734,0.62%
SORIL Infra Resources,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,07-08-2019,95.38,192022,0.61%
Usha Martin,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,07-08-2019,26.65,1652266,0.54%
Ducon InfraTech,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,30-05-2019,16.5,600000,0.18%
Vikas Lifecare,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,22-05-2019,4.13,11928292,0.64%
Lakshmi Vilas Bank,NOMURA SINGAPORE LIMITED,BSE,Bulk,Sell,02-05-2019,73.9,5580000,1.66%
Inox Wind,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,05-12-2018,79.3,2375000,0.18%
Inox Wind,NOMURA SINGAPORE LIMITED,BSE,Bulk,Sell,05-12-2018,80.3,2375000,0.18%
Paramount Comm,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,22-11-2018,8.45,2823126,0.93%
Vikas Ecotech,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,16-11-2018,14,3500000,0.20%
Vikas Ecotech,NOMURA SINGAPORE LIMITED,BSE,Bulk,Purchase,16-11-2018,14,3500000,0.20%
Infibeam Avenues,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,08-10-2018,60.09,8800694,0.32%
GSS Infotech,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,01-10-2018,99.49,100000,0.38%
Lakshmi Vilas Bank,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,01-10-2018,74.91,1489613,0.44%
Infibeam Avenues,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,10-05-2018,167.75,3000000,0.11%
GSS Infotech,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,18-04-2018,73.99,300000,1.15%
GSS Infotech,NOMURA SINGAPORE LIMITED,BSE,Bulk,Purchase,18-04-2018,74,200000,0.76%
GSS Infotech,NOMURA SINGAPORE LIMITED,NSE,Bulk,Purchase,16-04-2018,61,100000,0.38%
Toss the Coin Ltd.,SELVAMURTHY AKILANDESWARI,BSE,Bulk,Purchase,23-12-2024,409,24000,1.27%
Reliance Industries,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,23-12-2024,1215,2750298,0.02%
Reliance Industries,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,23-12-2024,1215,2750298,0.02%
Sanathan Textiles Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,27-12-2024,401.42,695688,0.82%
Sanathan Textiles Ltd.,SOCIETE GENERALE,NSE,Bulk,Sell,27-12-2024,409.26,41180,0.05%
Concord Enviro Systems Ltd.,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Sell,27-12-2024,827.51,110022,0.60%
Concord Enviro Systems Ltd.,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Sell,27-12-2024,827.51,110022,0.53%
Identical Brains Studios Ltd.,SELVAMURTHY    AKILANDESWARI,NSE,Bulk,Purchase,09-01-2025,70.84,74000,0.53%
Landmark Immigration Consu...,SELVAMURTHY AKILANDESWARI,BSE,Bulk,Purchase,23-01-2025,75.35,105600,0.51%
Laxmi Dental,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,20-01-2025,545.66,1386597,2.52%
Landmark Immigration Consu...,SELVAMURTHY AKILANDESWARI,BSE,Bulk,Purchase,30-01-2025,58.53,104000,0.50%
Sterling and Wilson,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,11-02-2025,282.2,3644105,1.56%
Sterling and Wilson,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,11-02-2025,282.46,3427631,1.47%
ISGEC Heavy Engg,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,20-02-2025,915.49,1043192,1.42%
Sterlite Tech,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Sell,05-03-2025,81.04,10377562,2.13%
TeamLease Services,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,28-02-2025,1865,167802,1.00%
TeamLease Services,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,25-02-2025,1960,89314,0.53%
Max Financial,SOCIETE GENERALE,NSE,Block,Purchase,27-03-2025,1112,235594,0.07%
Manappuram Finance,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,21-03-2025,227.2,302331,0.04%
Manappuram Finance,BOFA SECURITIES EUROPE SA,NSE,Bulk,Sell,21-03-2025,231.95,4346655,0.51%
Kesoram Industries,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Sell,28-03-2025,4.2,1930197,0.62%
Max Financial,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,27-03-2025,1112,247302,0.07%
Mahindra Lifespace,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,19-03-2025,330.31,844573,0.54%
KFIN Technologies,SOCIETE GENERALE,NSE,Bulk,Purchase,13-05-2025,1040,3447285,2.00%
PNB Housing Finance,SOCIETE GENERALE,NSE,Block,Purchase,02-05-2025,1000.2,1052054,0.40%
RBL Bank,SOCIETE GENERALE,NSE,Bulk,Purchase,28-04-2025,203.99,3675496,0.60%
RBL Bank,SOCIETE GENERALE,NSE,Bulk,Sell,28-04-2025,194,36097,0.01%
Max Financial ,SOCIETE GENERALE,NSE,Block,Purchase,27-03-2025,1112,235594,0.07%
PNB Housing Finance,FRANKLIN TEMPLETON MUTUAL FUND,BSE,Block,Purchase,02-05-2025,1000.2,1250004,0.48%
Angel One,BOFA SECURITIES EUROPE SA,BSE,Bulk,Purchase,09-05-2025,2293.21,1519541,1.68%
Nuvama Wealth,BOFA SECURITIES EUROPE SA,BSE,Bulk,Purchase,09-05-2025,5930.43,259458,0.72%
Samhi Hotels,BOFA SECURITIES EUROPE SA - ODI,NSE,Block,Purchase,29-04-2025,174.3,917958,0.41%
Samhi Hotels,BOFA SECURITIES EUROPE SA,NSE,Block,Purchase,29-04-2025,174.3,574123,0.26%
Fusion Micro Finance,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,17-04-2025,158.21,670741,0.51%
Info Edge,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Sell,14-05-2025,1464.5,212700,0.03%
Max Healthcare,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Sell,14-05-2025,1172,258242,0.03%
Waaree Energies Ltd.,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Sell,14-05-2025,2690.1,60398,0.02%
Motilal Oswal,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Sell,12-05-2025,679.5,203343,0.03%
Northern Arc Capital,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,12-05-2025,193,880000,0.55%
PNB Housing Finance,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,02-05-2025,1000.2,801483,0.31%
PNB Housing Finance,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,02-05-2025,1000.2,500040,0.19%
Kesoram Industries,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Bulk,Sell,28-04-2025,3.82,2517721,0.81%
TD Power Systems,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,22-05-2025,460,1093643,0.70%
Mahindra Lifespace,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,19-03-2025,330.31,844573,0.40%
Vishal Fabrics,NOMURA SINGAPORE LIMITED,BSE,Bulk,Sell,27-11-2024,28.46,2115000,1.04%
Jubilant Foodworks,SOCIETE GENERALE,NSE,Block,Purchase,13-06-2025,662,740000,0.11%
Jubilant Ingrevia,SOCIETE GENERALE,NSE,Block,Purchase,13-06-2025,676,380000,0.24%
Schaeffler,SOCIETE GENERALE,NSE,Block,Purchase,12-06-2025,4188.4,79559,0.05%
Eternal,SOCIETE GENERALE,NSE,Block,Purchase,12-06-2025,257.07,6093605,0.06%
Schaeffler,SOCIETE GENERALE,NSE,Block,Purchase,11-06-2025,4199.4,80807,0.05%
ICICI Bank,SOCIETE GENERALE,NSE,Block,Purchase,11-06-2025,1422.9,120405,0.00%
Mahindra & Mahindra,SOCIETE GENERALE,NSE,Block,Purchase,11-06-2025,3067.5,58663,0.00%
Marksans Pharma,SOCIETE GENERALE,NSE,Block,Purchase,11-06-2025,249.95,920184,0.20%
UNO Minda,SOCIETE GENERALE,NSE,Block,Purchase,11-06-2025,1096.6,990228,0.17%
Eternal,SOCIETE GENERALE,NSE,Block,Purchase,11-06-2025,255.68,6093607,0.06%
Premier Energies,SOCIETE GENERALE,NSE,Block,Purchase,10-06-2025,1051.6,1791592,0.40%
Suzlon Energy,SOCIETE GENERALE,NSE,Block,Purchase,09-06-2025,66.05,7397043,0.05%
Bajaj Finserv,SOCIETE GENERALE,NSE,Block,Purchase,06-06-2025,1925.2,1011452,0.06%
ZF Commercial,SOCIETE GENERALE,NSE,Block,Purchase,06-06-2025,13191,35694,0.19%
Choice International,SOCIETE GENERALE,BSE,Bulk,Purchase,04-06-2025,705.2,1100290,0.54%
Choice International,SOCIETE GENERALE,BSE,Block,Purchase,04-06-2025,705.2,1100000,0.53%
Indegene,SOCIETE GENERALE - ODI,NSE,Bulk,Purchase,04-06-2025,591,1879775,0.78%
ZF Commercial,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Bulk,Purchase,06-06-2025,13191,140217,0.74%
ZF Commercial,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Block,Purchase,06-06-2025,13191,140217,0.74%
Oriental Carbon,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,10-06-2025,289.53,53428,0.53%
Bajaj Finserv,BOFA SECURITIES EUROPE SA - ODI,NSE,Block,Purchase,06-06-2025,1925.2,1309986,0.08%
Bajaj Finserv,BOFA SECURITIES EUROPE SA,NSE,Block,Purchase,06-06-2025,1925.2,311903,0.02%
Aditya Birla Capital,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,28-05-2025,219.4,2700000,0.10%
Aditya Birla Capital,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,28-05-2025,219.4,2700000,0.10%
Jubilant Foodworks,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,13-06-2025,662,1170000,0.18%
Jubilant Ingrevia,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,13-06-2025,676,390000,0.24%
Scoda Tubes,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Sell,13-06-2025,181.42,420000,0.70%
Bajaj Finserv,MORGAN STANLEY ASIA (SINGAPORE) PTE.,BSE,Block,Sell,10-06-2025,1983.8,125000,0.01%
Premier Energies,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,10-06-2025,1051.6,1677563,0.37%
Premier Energies,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,10-06-2025,1051.6,162872,0.04%
Suzlon Energy,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,09-06-2025,66.05,3028031,0.02%
Bajaj Finserv,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,06-06-2025,1925.2,2178856,0.14%
Bajaj Finserv,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,06-06-2025,1925.2,133674,0.01%
Aptus Value Housing,MORGAN STANLEY ASIA (SINGAPORE) PTE.,BSE,Block,Sell,06-06-2025,304.65,500000,0.10%
Aptus Value Housing,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,03-06-2025,307,2995176,0.60%
InterGlobe Aviation,MORGAN STANLEY ASIA (SINGAPORE) PTE.,BSE,Block,Sell,29-05-2025,5246.35,46000,0.01%
Ethos,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,19-06-2025,2700.67,177943,0.67%
Aditya Birla Capital,GOLDMAN SACHS FUNDS  GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Block,Purchase,11-06-2025,242.65,3363220,0.13%
Aditya Birla Capital,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,11-06-2025,242.65,3363219,0.13%
Aditya Birla Capital,GOLDMAN SACHS ETF TRUST - GOLDMAN SACHS INDIA EQUITY ETF,BSE,Block,Purchase,11-06-2025,242.65,4393,0.00%
Aditya Birla Capital,GOLDMAN SACHS ETF TRUST  GOLDMAN SACHS INDIA EQUITY ETF,NSE,Block,Purchase,11-06-2025,242.65,4393,0.00%
Premier Energies,NOMURA SINGAPORE LIMITED,NSE,Block,Purchase,10-06-2025,1051.6,244308,0.05%
Bajaj Finserv,NOMURA SINGAPORE LIMITED,NSE,Block,Purchase,06-06-2025,1925.2,53471,0.00%
PB Fintech,SOCIETE GENERALE,NSE,Block,Purchase,26-06-2025,1821.5,524467,0.11%
One Mobikwik Systems Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,26-06-2025,230,939970,1.20%
Arisinfra Solutions,SOCIETE GENERALE,NSE,Bulk,Sell,25-06-2025,184.81,1022030,1.26%
Sai Life Science Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,20-06-2025,722,870593,0.42%
Landmark Global Learning,SELVAMURTHY AKILANDESWARI,BSE,Bulk,Purchase,30-01-2025,58.53,104000,0.50%
Landmark Global Learning,SELVAMURTHY AKILANDESWARI,BSE,Bulk,Purchase,23-01-2025,75.35,105600,0.51%
India Cements,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Bulk,Purchase,20-06-2025,310.17,2037333,0.66%
PB Fintech,MORGAN STANLEY ASIA (SINGAPORE) PTE.,BSE,Block,Sell,30-06-2025,1819,99994,0.02%
PB Fintech,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,26-06-2025,1821.5,481307,0.10%
PB Fintech,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,26-06-2025,1821.5,94499,0.02%
Delhivery,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,26-06-2025,387,2885814,0.39%
Delhivery,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,26-06-2025,387,1886852,0.25%
Sai Life Science Ltd.,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Block,Purchase,20-06-2025,722,312210,0.15%
One97 Communications,SOCIETE GENERALE,BSE,Bulk,Purchase,05-08-2025,1067.5,3400000,0.53%
One97 Communications,SOCIETE GENERALE ODI,BSE,Bulk,Purchase,05-08-2025,1067.5,3350000,0.52%
Mehul Colours,SELVAMURTHY AKILANDESWARI,BSE,Bulk,Purchase,07-08-2025,82.58,54400,0.52%
Mehul Colours,SELVAMURTHY AKILANDESWARI,BSE,Bulk,Purchase,06-08-2025,86.78,150400,1.43%
Laxmi Finance,BOFA SECURITIES EUROPE SA,NSE,Bulk,Sell,06-08-2025,125.01,264538,0.51%
Laxmi Finance,BOFA SECURITIES EUROPE SA,NSE,Bulk,Sell,05-08-2025,141.12,354508,0.68%
UPL PP,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,28-07-2025,538.24,554195,-%
Dr Agarwals Health Care,BOFA SECURITIES EUROPE SA,NSE,Block,Purchase,11-07-2025,436,274031,0.09%
AG Ventures,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,10-06-2025,289.53,53428,0.53%
Medi Assist Healthcare,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,12-08-2025,522.7,286371,0.41%
Medi Assist Healthcare,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,12-08-2025,522.7,191315,0.27%
Home First Finance,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,11-08-2025,1190.5,95000,0.09%
UPL PP,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,31-07-2025,520.54,1579930,-%
UPL PP,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,30-07-2025,532.36,1027090,-%
UPL PP,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,29-07-2025,538.81,598910,-%
Cigniti Technologies,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,24-07-2025,1591.46,165750,0.61%
AWL Agri Business,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Block,Purchase,18-07-2025,275.5,623701,0.05%
Dr Agarwals Health Care,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Sell,11-07-2025,436,274031,0.09%
Marathon Nextgen Realty,NOMURA SINGAPORE LIMITED,NSE,Bulk,Sell,07-07-2025,670.11,436869,0.85%
RBL Bank,SOCIETE GENERALE,NSE,Bulk,Purchase,28-08-2025,250.57,3278899,0.54%
RBL Bank,SOCIETE GENERALE,NSE,Bulk,Sell,28-08-2025,251.19,129454,0.02%
Swiggy Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,26-08-2025,426.52,125767,0.01%
Swiggy Ltd.,SOCIETE GENERALE,NSE,Bulk,Sell,26-08-2025,429.97,14253674,0.57%
Sai Life Science Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,26-08-2025,871,1406922,0.67%
Apollo Hospitals,SOCIETE GENERALE,NSE,Block,Purchase,22-08-2025,7850,328047,0.23%
Apollo Hospitals,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,22-08-2025,7850,90885,0.06%
Apollo Hospitals,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,22-08-2025,7850,80212,0.06%
Laxmi Finance,BOFA SECURITIES EUROPE SA,NSE,Bulk,Sell,02-09-2025,140,410023,0.78%
One Mobikwik Systems Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,01-09-2025,243.61,500000,0.64%
Bank of Baroda,SOCIETE GENERALE,NSE,Block,Purchase,12-09-2025,238.27,6416414,0.12%
Eicher Motors,SOCIETE GENERALE,NSE,Block,Purchase,12-09-2025,6758,60405,0.02%
Max Financial,SOCIETE GENERALE,NSE,Block,Purchase,12-09-2025,1605.4,74675,0.02%
Power Finance,SOCIETE GENERALE,NSE,Block,Purchase,12-09-2025,399.55,2437238,0.07%
Kotak Mahindra Bank,SOCIETE GENERALE - ODI,NSE,Block,Purchase,10-09-2025,1940.8,281301,0.01%
Aptus Value Housing,SOCIETE GENERALE,NSE,Bulk,Purchase,04-09-2025,328.85,3885159,0.78%
RBL Bank,SOCIETE GENERALE,NSE,Bulk,Purchase,28-08-2025,250.57,3278899,0.53%
Austere Systems,SELVAMURTHY AKILANDESWARI,BSE,Bulk,Purchase,16-09-2025,71.62,70000,0.67%
Austere Systems,SELVAMURTHY AKILANDESWARI,BSE,Bulk,Purchase,12-09-2025,75.17,100000,0.95%
Kotak Mahindra Bank,BOFA SECURITIES EUROPE SA,NSE,Block,Purchase,10-09-2025,1940.8,138390,0.01%
Kotak Mahindra Bank,BOFA SECURITIES EUROPE SA,NSE,Block,Purchase,10-09-2025,1940.8,92260,0.00%
Kotak Mahindra Bank,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,10-09-2025,1940.8,1334524,0.07%
Kotak Mahindra Bank,MORGAN STANLEY ASIA (SINGAPORE) PTE. - ODI,NSE,Block,Purchase,10-09-2025,1940.8,890787,0.04%
Kotak Mahindra Bank,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,10-09-2025,1940.8,117208,0.01%
Healthcare Global,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,10-09-2025,695,880000,0.62%
Healthcare Global,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,10-09-2025,695,880000,0.62%
Landmark Cars,MORGAN STANLEY ASIA SINGAPORE PTE,BSE,Bulk,Purchase,19-09-2025,639,275000,0.66%
Polycab,SOCIETE GENERALE,NSE,Block,Purchase,25-09-2025,7458,83309,0.06%
Akzo Nobel,SOCIETE GENERALE,NSE,Block,Purchase,24-09-2025,3358.8,29928,0.07%
